Source	Target	LetterNumber	href	tu	vous	wordcount	commas	meanSentenceLength	medianSentenceLength
MADAME DE ROSEMONDE	LA PRÉSIDENTE TOURVEL	104	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_103	0	28	628	36	22.428571428571427	18.5
MARQUISE DE MERTEUIL	MADAME DE VOLANGES	105	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_104	0	29	1771	147	35.44	30.0
MARQUISE DE MERTEUIL	CÉCILE VOLANGES	106	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_105	0	99	1536	125	30.72	27.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	107	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_106	0	37	1260	97	32.30769230769231	28.0
AZOLAN	VICOMTE DE VALMONT	108	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_107	0	1	1274	85	24.980392156862745	23.0
MADAME TOURVEL	MADAME DE ROSEMONDE	109	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_108	0	11	776	49	29.846153846153847	23.0
CÉCILE VOLANGES	MARQUISE DE MERTEUIL	110	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_109	0	14	774	50	24.1875	21.5
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	111	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_110	0	8	1583	117	31.03921568627451	27.0
COMTE DE GERCOURT	MADAME DE VOLANGES	112	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_111	0	7	279	21	18.6	19.0
MADAME DE ROSEMONDE	LA PRÉSIDENTE TOURVEL	113	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_112	0	12	328	31	20.5	19.5
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	114	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_113	0	64	2212	168	30.301369863013697	27.0
LA PRÉSIDENTE TOURVEL	MADAME DE ROSEMONDE	115	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_114	0	13	489	39	28.764705882352942	28.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	116	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_115	0	46	1586	150	32.38775510204081	24.0
CHEVALIER DANCENY	CÉCILE VOLANGES	117	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_116	0	17	574	40	24.956521739130434	19.0
CÉCILE VOLANGES	CHEVALIER DANCENY	118	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_117	0	24	521	41	28.944444444444443	19.5
CHEVALIER DANCENY	MARQUISE DE MERTEUIL	119	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_118	0	27	813	68	30.11111111111111	24.0
MADAME DE ROSEMONDE	LA PRÉSIDENTE TOURVEL	120	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_119	0	9	297	19	19.8	16.0
VICOMTE DE VALMONT	PÈRE ANSELME	121	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_120	0	9	412	40	45.77777777777778	35.0
MARQUISE DE MERTEUIL	CHEVALIER DANCENY	122	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_121	0	43	822	66	34.25	33.5
MADAME DE ROSEMONDE	LA PRÉSIDENTE TOURVEL	123	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_122	0	16	866	74	29.93103448275862	24.0
